월별(1),평균기온 (℃),평균최고기온 (℃),최고극값기온 (℃),평균최저기온 (℃),최저극값기온 (℃),강수량 (㎜),평균상대습도 (%),최소상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균운량 (1/10),일조시간 (hr),최심신적설 (㎝),평균풍속바람 (m/s),최대풍속바람 (m/s),최대순간풍속 (m/s)
연간,14.2,19.1,37,10.1,-12,1507.3,67,1,1016.3,7.3,4.8,2298.6,-,1.6,12.6,23.5
1월,0.3,4.9,13.8,-3.6,-12,26.7,46,3,1022.6,-11,3.8,208.9,-,1.7,6.4,12.2
2월,2.6,7.8,14.6,-2.2,-10.2,32.6,38,1,1022.2,-12.1,3.7,201.4,-,1.8,7.3,12.4
3월,9.1,14.8,23.2,4.1,-1.9,186,67,13,1019.7,2.4,4.2,205.7,-,1.9,9,17.1
4월,14.4,20.2,27.3,9.5,1.2,119.3,67,13,1015.7,7.1,4.7,231.3,-,1.8,7.6,13.4
5월,18.1,23.4,29,13.8,8.3,145,76,13,1011.9,13.1,6.1,188.6,-,1.8,6.5,11.7
6월,21.7,26.8,34.7,17.9,13.9,194.8,80,33,1008.2,17.5,6.1,186.9,-,1.6,6.4,10.7
7월,27.1,31.8,36.4,23.3,17.8,146,84,45,1008.6,23.9,4.7,166.4,-,1.5,6.4,10.5
8월,27.5,32.2,37,24.1,19.8,243.7,83,48,1007.6,24.1,5.6,192.3,-,1.7,8.5,17.4
9월,21.3,25.1,30.2,18.1,12.9,216.4,82,37,1012.9,17.7,7.1,122.4,-,1.3,5.3,10.4
10월,15.1,20.1,26.4,10.9,4.7,146.2,69,22,1018,9,3.6,221.9,-,1.5,12.6,23.5
11월,10.1,15.2,20.5,5.9,-3,23.7,65,11,1022.8,3,3.6,191,-,1.2,7,14.8
12월,3.2,7.3,16.2,-7,-9.8,26.9,51,4,1025.6,-7.2,4.4,181.8,-,1.8,7.5,12.5
