행정구역별(1),시점,출생아수(명),사망자수(명),혼인건수(건),이혼건수(건)
전국,1992,730678,236162,419774,53539
전국,1993,715826,234257,402593,59313
전국,1994,721185,242439,393121,65015
전국,1995,715020,242838,398484,68279
전국,1996,691226,241149,434911,79895
전국,1997,675394,244693,388960,91160
전국,1998,641594,245825,373500,116294
전국,1999,620668,247734,360407,117449
전국,2000,640089,248740,332090,119455
전국,2001,559934,243813,318407,134608
전국,2002,496911,247524,304877,144910
전국,2003,495036,246463,302503,166617
전국,2004,476958,246220,308598,138932
전국,2005,438707,245874,314304,128035
전국,2006,451759,244162,330634,124524
전국,2007,496822,246482,343559,124072
전국,2008,465892,246113,327715,116535
전국,2009,444849,246942,309759,123999
전국,2010,470171,255405,326104,116858
전국,2011,471265,257396,329087,114284
전국,2012,484550,267221,327073,114316
전국,2013,436455,266257,322807,115292
전국,2014,435435,267692,305507,115510
전국,2015,438420,275895,302828,109153
전국,2016,406243,280827,281635,107328
전국,2017,357771,285534,264455,106032
전국,2018,326822,298820,257622,108684
전국,2019,302676,295110,239159,110831
전국,2020,272337,304948,213502,106500
전국,2021,260562,317680,192507,101673
서울특별시,1992,182691,37856,107821,13461
서울특별시,1993,175827,38213,103511,14548
서울특별시,1994,175707,39267,100960,16324
서울특별시,1995,166236,38577,98525,16296
서울특별시,1996,152140,38612,105100,18464
서울특별시,1997,142724,38179,93932,20391
서울특별시,1998,134604,38175,88219,26090
서울특별시,1999,128120,38046,85215,25917
서울특별시,2000,133154,39296,78745,25477
서울특별시,2001,114764,38455,77376,28962
서울특별시,2002,102008,38925,72696,29351
서울특별시,2003,101227,38068,72750,32499
서울특별시,2004,99828,38274,71553,26994
서울특별시,2005,90468,38751,71286,25300
서울특별시,2006,93922,38519,73924,24354
서울특별시,2007,101249,39016,76399,24615
서울특별시,2008,94736,38298,71753,23319
서울특별시,2009,89594,38790,68841,23920
서울특별시,2010,93266,40130,70466,21768
서울특별시,2011,91526,40320,71519,20617
서울특별시,2012,93914,41514,71695,20177
서울특별시,2013,84066,42063,68819,20126
서울특별시,2014,83711,42153,64823,19477
서울특별시,2015,83005,43053,64193,18176
서울특별시,2016,75536,43540,57643,17777
서울특별시,2017,65389,42932,53776,17083
서울특별시,2018,58074,45219,52005,16940
서울특별시,2019,53673,43829,48261,16972
서울특별시,2020,47445,45522,44746,16282
서울특별시,2021,45531,48798,37012,14967
부산광역시,1992,59702,16010,33435,5640
부산광역시,1993,56588,16426,31395,5875
부산광역시,1994,54427,16845,29896,6084
부산광역시,1995,52615,17164,30800,6235
부산광역시,1996,50139,17269,32820,6957
부산광역시,1997,46284,18005,27890,8211
부산광역시,1998,43200,17928,27123,9895
부산광역시,1999,41237,18312,25495,9666
부산광역시,2000,41222,18318,23343,10129
부산광역시,2001,35848,18422,21825,10489
부산광역시,2002,30767,18688,20916,12065
부산광역시,2003,30117,18528,20027,14120
부산광역시,2004,28231,18722,19898,11334
부산광역시,2005,25681,18854,18973,9905
부산광역시,2006,25881,18983,20017,8953
부산광역시,2007,28426,19170,21484,8677
부산광역시,2008,26670,19385,20149,7908
부산광역시,2009,25110,18954,18614,8550
부산광역시,2010,27415,19708,20195,7645
부산광역시,2011,27759,19643,20224,7514
부산광역시,2012,28673,20534,20362,7501
부산광역시,2013,25831,20096,20734,7444
부산광역시,2014,26190,20230,18927,7345
부산광역시,2015,26645,20820,18553,6649
부산광역시,2016,24906,21074,17113,6859
부산광역시,2017,21480,21434,15677,6651
부산광역시,2018,19152,22570,14781,6678
부산광역시,2019,17049,22260,13780,6787
부산광역시,2020,15058,22950,12128,6497
부산광역시,2021,14446,23531,11081,6248
대구광역시,1992,36525,9461,19314,2834
대구광역시,1993,35933,9771,19010,2933
대구광역시,1994,36370,10162,18814,2881
