지점,지점명,일시,평균기온(°C),평균 풍속(m/s),평균 상대습도(%)
108,서울,2022-11-09,11.4,1.5,76
108,서울,2022-11-10,13.5,1.3,74.5
108,서울,2022-11-11,15.6,1.8,62.5
108,서울,2022-11-12,16.3,2.2,80
108,서울,2022-11-13,10.3,2.6,85.6
108,서울,2022-11-14,9.7,2.3,74.8
108,서울,2022-11-15,8.1,2,77.4
108,서울,2022-11-16,8.5,1.7,71.3
108,서울,2022-11-17,10.2,1.6,64.6
108,서울,2022-11-18,11,1.6,69.6
108,서울,2022-11-19,12.9,2.3,55.8
108,서울,2022-11-20,13.7,1.7,58.3
108,서울,2022-11-21,11.8,1.6,70.5
108,서울,2022-11-22,10.7,1.9,69.9
108,서울,2022-11-23,10.8,2.1,56
108,서울,2022-11-24,9.4,1.5,65.6
108,서울,2022-11-25,12.3,3,67.1
108,서울,2022-11-26,6.7,3,52.4
108,서울,2022-11-27,5.4,2.4,43.1
108,서울,2022-11-28,12.3,2.7,65.5
108,서울,2022-11-29,6.9,3.5,67
108,서울,2022-11-30,-5.4,3.9,49.1
108,서울,2022-12-01,-5.4,2.4,43.4
108,서울,2022-12-02,-2.5,1.7,42
108,서울,2022-12-03,2.1,2.6,70.5
108,서울,2022-12-04,-3.5,2.8,38.9
108,서울,2022-12-05,-3.1,2.4,41.9
108,서울,2022-12-06,0.9,2.4,62.8
108,서울,2022-12-07,4.9,2.7,60.4
108,서울,2022-12-08,3.7,1.4,57.5
108,서울,2022-12-09,4.5,2,60.8
159,부산,2022-11-09,15.2,2.2,53
159,부산,2022-11-10,16.9,2.4,49.1
159,부산,2022-11-11,17.5,2.8,69
159,부산,2022-11-12,19.1,2.2,81.4
159,부산,2022-11-13,17.8,4.4,76.6
159,부산,2022-11-14,12.8,2.2,67.4
159,부산,2022-11-15,11.3,3.1,50.8
159,부산,2022-11-16,12.8,2.1,50.1
159,부산,2022-11-17,12.8,2.1,46
159,부산,2022-11-18,14.4,3.3,61.3
159,부산,2022-11-19,16.1,3.3,65.5
159,부산,2022-11-20,15.3,2.3,70.6
159,부산,2022-11-21,15.4,1.7,66.1
159,부산,2022-11-22,14.6,2.1,76.9
159,부산,2022-11-23,14.6,2.8,72.9
159,부산,2022-11-24,12.9,2.3,50.3
159,부산,2022-11-25,14.3,2.3,65.4
159,부산,2022-11-26,15,2.8,50.1
159,부산,2022-11-27,13.6,2.4,45.5
159,부산,2022-11-28,17.9,3.2,75.6
159,부산,2022-11-29,14.9,4.6,72
159,부산,2022-11-30,2.7,4.6,29.3
159,부산,2022-12-01,0.7,3.1,32.6
159,부산,2022-12-02,2.3,2.3,40.4
159,부산,2022-12-03,7,2.2,51.1
159,부산,2022-12-04,6.5,3.6,32.1
159,부산,2022-12-05,3.5,3.9,22.3
159,부산,2022-12-06,4.1,3.7,40
159,부산,2022-12-07,7.2,3.8,44.6
159,부산,2022-12-08,7.8,2.3,40.5
159,부산,2022-12-09,9.5,1.6,42.5
184,제주,2022-11-09,16.5,2.7,66
184,제주,2022-11-10,18.7,3,81
184,제주,2022-11-11,20.4,3.3,77.3
184,제주,2022-11-12,20.2,1.9,84.8
184,제주,2022-11-13,14.9,4.8,79.6
184,제주,2022-11-14,13.7,3.8,68.6
184,제주,2022-11-15,13.1,3.2,61.4
184,제주,2022-11-16,13.5,2.6,69
184,제주,2022-11-17,14.2,2.1,73.6
184,제주,2022-11-18,16,3.1,78
184,제주,2022-11-19,17.1,3.2,76.9
184,제주,2022-11-20,15.7,2.5,91
184,제주,2022-11-21,16.2,2.2,78.3
184,제주,2022-11-22,15.7,2.8,81.5
184,제주,2022-11-23,14.2,3.7,76.8
184,제주,2022-11-24,12.8,2.2,68
184,제주,2022-11-25,15.1,2.3,55.3
184,제주,2022-11-26,14.6,3,68.5
184,제주,2022-11-27,14.3,2.4,60.1
184,제주,2022-11-28,21.9,3.3,72.9
184,제주,2022-11-29,14.1,4.8,80.5
184,제주,2022-11-30,5.7,6.4,68.5
184,제주,2022-12-01,5.5,3.9,63.9
184,제주,2022-12-02,7.1,2.7,66
184,제주,2022-12-03,10.4,2,85.4
184,제주,2022-12-04,8.1,4.3,63.9
184,제주,2022-12-05,5.8,5.2,61
184,제주,2022-12-06,8.6,4.4,55.4
184,제주,2022-12-07,10.2,3.4,57.5
184,제주,2022-12-08,9,2,61.5
184,제주,2022-12-09,11.2,2,59.4
185,고산,2022-11-09,18,3.4,56.6
185,고산,2022-11-10,18.9,2.9,73.6
185,고산,2022-11-11,20.3,4.4,72.4
185,고산,2022-11-12,21.3,6.4,86.4
185,고산,2022-11-13,14.5,12.8,77.8
185,고산,2022-11-14,13.4,9.1,65.9
185,고산,2022-11-15,12.8,6.8,61.9
185,고산,2022-11-16,14.6,4.8,61.3
185,고산,2022-11-17,14.7,3.1,62.5
185,고산,2022-11-18,17.1,3.5,63.1
185,고산,2022-11-19,18,3.1,65.5
185,고산,2022-11-20,15.4,3.1,87.6
185,고산,2022-11-21,16.8,2.8,71.3
185,고산,2022-11-22,16.2,3.3,69
185,고산,2022-11-23,14.6,8.4,70.8
185,고산,2022-11-24,13.9,5.7,67.3
185,고산,2022-11-25,16.6,4.3,61.1
185,고산,2022-11-26,15,6.2,64.8
185,고산,2022-11-27,15.7,4.7,61
185,고산,2022-11-28,20.6,7.4,82.6
185,고산,2022-11-29,13.4,13.8,80.6
185,고산,2022-11-30,5.8,13.8,69.9
185,고산,2022-12-01,5.3,6.3,66.8
185,고산,2022-12-02,7.1,5.2,62.4
185,고산,2022-12-03,11.1,3.8,78.4
185,고산,2022-12-04,7.7,9.9,65.6
185,고산,2022-12-05,5.8,11.9,63.6
185,고산,2022-12-06,9,10.5,55.8
185,고산,2022-12-07,10.5,7.8,55.1
185,고산,2022-12-08,10.4,3.7,52.9
185,고산,2022-12-09,12,3.3,55.4
188,성산,2022-11-09,15.8,1.7,68.5
188,성산,2022-11-10,18.1,2.1,85.4
188,성산,2022-11-11,21,3.6,73.3
188,성산,2022-11-12,21.2,4.3,88.4
188,성산,2022-11-13,14.5,5.2,77.4
188,성산,2022-11-14,12.8,3.4,68.1
188,성산,2022-11-15,11.1,3,64.3
188,성산,2022-11-16,12.4,2.2,69.3
188,성산,2022-11-17,14.8,2.1,68.9
188,성산,2022-11-18,17.5,3.8,68.5
188,성산,2022-11-19,18.7,4.1,69.4
188,성산,2022-11-20,16.5,3.1,84.6
188,성산,2022-11-21,15.8,2.3,79.3
188,성산,2022-11-22,16,2.7,82.4
188,성산,2022-11-23,14.1,3.3,75.5
188,성산,2022-11-24,12.6,2.6,66.5
188,성산,2022-11-25,14.4,2.4,73.9
188,성산,2022-11-26,14.1,2.8,69.3
188,성산,2022-11-27,15.3,2.4,60.4
188,성산,2022-11-28,20.8,4.5,87.1
188,성산,2022-11-29,13.7,4.3,76.6
188,성산,2022-11-30,4.6,4.9,64
