瘤痢,瘤痢疙,老矫,乞闭扁柯,岿钦碍荐樊
159,何魂,2001-01-01,2.7,60.4
159,何魂,2001-02-01,5.7,53.3
159,何魂,2001-03-01,9.6,6.1
159,何魂,2001-04-01,15,42.4
159,何魂,2001-05-01,19,57.8
159,何魂,2001-06-01,21.6,274.9
159,何魂,2001-07-01,26,271.5
159,何魂,2001-08-01,26.9,144.7
159,何魂,2001-09-01,22.7,74.4
159,何魂,2001-10-01,18.5,144.2
159,何魂,2001-11-01,11.4,12.9
159,何魂,2001-12-01,4.8,28.7
159,何魂,2002-01-01,4.8,84.8
159,何魂,2002-02-01,6.6,12.3
159,何魂,2002-03-01,10.7,117.1
159,何魂,2002-04-01,14.4,384.8
159,何魂,2002-05-01,17,122.6
159,何魂,2002-06-01,20.9,76
159,何魂,2002-07-01,24,304.6
159,何魂,2002-08-01,24.2,696.3
159,何魂,2002-09-01,21.7,98.9
159,何魂,2002-10-01,16.4,96.8
159,何魂,2002-11-01,8.8,11.2
159,何魂,2002-12-01,6.5,79.8
159,何魂,2003-01-01,2.5,23.3
159,何魂,2003-02-01,6.3,51.6
159,何魂,2003-03-01,8.6,77.5
159,何魂,2003-04-01,13.8,232
159,何魂,2003-05-01,16.9,418.5
159,何魂,2003-06-01,20.8,355
159,何魂,2003-07-01,21.3,657.7
159,何魂,2003-08-01,24.1,278
159,何魂,2003-09-01,22.5,160.3
159,何魂,2003-10-01,16.6,2.5
159,何魂,2003-11-01,13.1,57.5
159,何魂,2003-12-01,5.2,14.4
159,何魂,2004-01-01,2.8,1.4
159,何魂,2004-02-01,6.6,77.5
159,何魂,2004-03-01,8.8,48.1
159,何魂,2004-04-01,14,215
159,何魂,2004-05-01,17.3,210.6
159,何魂,2004-06-01,21,189.1
159,何魂,2004-07-01,24.2,91.7
159,何魂,2004-08-01,25.2,249
159,何魂,2004-09-01,22,231.2
159,何魂,2004-10-01,16.8,14.8
159,何魂,2004-11-01,12.5,32
159,何魂,2004-12-01,7.4,26.1
159,何魂,2005-01-01,2,15.7
159,何魂,2005-02-01,2.5,36.8
159,何魂,2005-03-01,7.1,142.4
159,何魂,2005-04-01,14,118.9
159,何魂,2005-05-01,17.1,168
159,何魂,2005-06-01,21,145
159,何魂,2005-07-01,23.8,314.4
159,何魂,2005-08-01,25.8,210.8
159,何魂,2005-09-01,22.8,176.5
159,何魂,2005-10-01,17.1,21.5
159,何魂,2005-11-01,11.6,30.9
159,何魂,2005-12-01,1.2,3
159,何魂,2006-01-01,3.9,24.4
159,何魂,2006-02-01,4,36.3
159,何魂,2006-03-01,8,24.7
159,何魂,2006-04-01,12.2,166.3
159,何魂,2006-05-01,16.3,257.6
159,何魂,2006-06-01,20.3,175.4
159,何魂,2006-07-01,22.6,591.7
159,何魂,2006-08-01,27.5,68
159,何魂,2006-09-01,21.3,132.8
159,何魂,2006-10-01,20,13.1
159,何魂,2006-11-01,13.1,30.5
159,何魂,2006-12-01,6.6,7.5
159,何魂,2007-01-01,5.2,4.6
159,何魂,2007-02-01,7.9,115
159,何魂,2007-03-01,9.1,75.5
159,何魂,2007-04-01,13.2,65.5
159,何魂,2007-05-01,17.8,116.6
159,何魂,2007-06-01,20.5,94.5
159,何魂,2007-07-01,22.8,301.5
